date,channel_name,message_id,text,sentiment,rephrased_news,title,topic,location_type,location,coords
2024-09-27T14:24:17+00:00,LOS SOLOMAS. KYIV,70394,"**Svitlychnyk 3.0 is a two-day local festival for the birthday of the sixtier Ivan Svitlychnyi.**
**He was a literary critic, but he was knowledgeable not only about books but also about people.**
** He easily established relationships with them and maintained communication with many simultaneously. His Khrushchyovka on Umanska was one of the key points in the sixtiers' topography of Kyiv.**
**A place for meetings and acquaintances, a poetic workshop, a club, and a library for the creative youth of the 1960s. Today we would call Svitlychnyi a guru of networking and community building.**
On September 28-29, we will meet at the platform ""Ostriv,"" which is a local cultural center in Chokolivka, to celebrate the birthday of a neighbor from the past and discuss the sixtiers in broader contexts. This is all that matters to us now – attitudes towards the Soviet legacy, activism and solidarity networks, memory and commemoration practices, ultimately – how new media help to make sense of the past. In addition to the educational component, the festival will also include creative workshops from residents of the ""Ostriv"" platform, the content of which will address various figures and dimensions of the sixtiers, including artistic ones.

""Svitlychnyk"" first took place in 2020 as an intimate event for the neighborhood community, aimed at communicating the emergence of Ivan Svitlychnyi Street in Chokolivka. The next event was held as a literary evening for young authors. During the full-scale war, we continue this commemorative practice in the district space, scaling it up to a mini-festival.

👉[** PROGRAM OF THE FIRST DAY**](https://t.me/lossolomas_kyiv/70119)

👉[** PROGRAM OF THE SECOND DAY **](https://t.me/lossolomas_kyiv/70194)**

👉**[** WORKSHOPS**](https://t.me/lossolomas_kyiv/70199)**

****__*The event is free!
Workshops - donation to the Armed Forces of Ukraine*__**

**📍Platform ""Ostriv"": Volynska 9/21

📍Park Suputnyk (opposite Svitlychnyi's house): Umanska 35**",positive,"The Svitlychnyk 3.0 festival will be held on September 28-29 at the 'Ostriv' cultural center in Chokolivka, celebrating the legacy of Ivan Svitlychnyi and discussing various cultural topics.",Svitlychnyk Festival Celebrates Literary Legacy,Community Events or Achievements,district,"Kyiv, Chokolivka","[50.4242067, 30.4466034]"
2024-09-27T10:43:03+00:00,LOS SOLOMAS. KYIV,70383,"We are receiving messages:

The temporary restriction at the Holovka stop has turned into a whole quest, as people are forced to walk on the roadway and wait for public transport.",negative,"At the Holovka stop in Kyiv, temporary restrictions have caused passengers to walk on the roadway while waiting for public transport.",Holovka Stop Transport Issues,Citizen Discomfort,exact location,"Kyiv, Holovka stop","[50.4198172, 30.4809137]"
2024-09-27T10:08:25+00:00,LOS SOLOMAS. KYIV,70376,"**The second festival **[**""Book Country""**](https://www.instagram.com/bookvdng?igsh=MW5jN3NjaHJzMzN4ag==)** has started at VDNH.**
On the first day of the festival, it was attended by 9750 guests.

A record for Ukraine was set for simultaneous reading (114 people). They read aloud ""Selected Works"" by Vasyl Stus in front of the central pavilion of VDNH.

The organizers also held the final of the book bloggers' award. The winner was the novel ""Yellow-Like"" by Rebecca Kwan, a special award went to the novel ""A Little Drama"" by Valerian Podmohylnyi, and the readers' choice award was given to the novel ""Beyond the Perikop is Land"" by Anastasia Levkova.

The festival will last for another 3 days, with a total of 120 publishers participating in the book fair. Over 300 activities are planned.

**Entry is free**",positive,"The second 'Book Country' festival has commenced at VDNH, attracting 9,750 attendees on its first day and setting a record for simultaneous reading.",Book Country Festival Kicks Off,Cultural/Sporting Milestones,exact location,"Kyiv, VDNH","[50.378485, 30.4789013]"
2024-09-26T12:10:35+00:00,LOS SOLOMAS. KYIV,70343,Antonov aircraft designers 41 fire victims. Work is in full swing - life goes on 🤝🏻,negative,Work continues at the Antonov aircraft design facility following a fire incident that resulted in 41 casualties.,Antonov Aircraft Designers Remember Victims,Accidents or Disasters,exact location,"Kyiv, Antonov aircraft design facility","[50.4503596, 30.5245025]"
2024-09-25T18:36:55+00:00,LOS SOLOMAS. KYIV,70280,"Hey, Npop, are you sleeping? Autumn is almost over. When will the repairs be completed in the Mokra 7 building, which was damaged as a result of the Russian shelling on January 2, 2024? It will soon be a year. Damn marauders.",negative,"Concerns are raised about the ongoing repairs at the Mokra 7 building, damaged by Russian shelling nearly a year ago.",Repairs Delayed at Mokra 7,Deterioration in Infrastructure,exact location,"Kyiv, Mokra 7","[50.4503596, 30.5245025]"
2024-09-25T18:34:32+00:00,LOS SOLOMAS. KYIV,70279,"Residential Complex Dynasty. Before/After. As far as we know, this was done thanks to the efforts of locals, not the Kyiv authorities.",negative,"The Dynasty Residential Complex has undergone changes, reportedly due to local efforts rather than city authorities.",Local Efforts Revive Dynasty Complex,Other,exact location,"Kyiv, Dynasty Residential Complex","[50.4503596, 30.5245025]"
2024-09-25T14:49:40+00:00,LOS SOLOMAS. KYIV,70260,Pedestrian traffic is partially restricted at the Golovka stop on Lobanovsky.,negative,Pedestrian traffic is partially restricted at the Golovka stop on Lobanovsky.,Pedestrian Traffic Restricted at Golovka,Citizen Discomfort,street,"Kyiv, Lobanovsky Avenue","[50.4125989, 30.4836221]"
2024-09-24T13:41:07+00:00,LOS SOLOMAS. KYIV,70232,"Friends are still looking for their 👀. **Free vacancy for Barista in one of the coffee shops** [**MOUNTAINS**](https://www.instagram.com/mountains_kyiv?igsh=bHphd3dya29hMTI1)! ** 📍 Svyatoslava Khorebroho 11B (Residential Complex Sky Avenue) ⏰ Schedule 3/3 (weekdays 08:00-21:00 / weekends 09:00-21:00) 💸 On average ~ 1500 per shift + tips (payment twice a month, no delays). We invite adult guys and girls with experience in our field to join a young and healthy team! It's interesting with us 😉. **For interviews, write to: ****@phantom_ls**.",positive,"A coffee shop named MOUNTAINS is seeking a barista. The position is located at Svyatoslava Khorebroho 11B in the Sky Avenue residential complex, with a schedule of 3 days on and 3 days off. The average pay is approximately 1500 UAH per shift plus tips, with payments made bi-monthly. Applicants with experience are encouraged to apply.",Barista Vacancy at MOUNTAINS,Economic Growth,exact location,"Kyiv, Svyatoslava Khorebroho 11B, Sky Avenue residential complex","[50.4503596, 30.5245025]"
2024-09-24T13:37:39+00:00,LOS SOLOMAS. KYIV,70230,"**On September 25, changes will be made to the routes of trolleybuses No. 3, 9-K; On September 28, changes will be made to the route of trolleybus No. 3**. Work will be carried out to arrange the upper layer of asphalt concrete on Metropolitan Vasyl Lypkivskyi Street. On September 25 from 07:00 to 22:00, trolleybus traffic will be organized: - route No. 3 from the Railway Massif to the 'Ploshcha Ukrayinskykh Heroiv' metro station. For the convenience of passengers, the route has been assigned the number 3-D; - route No. 9-K from Kadetsky Hay St. to the 'Ploshcha Ukrayinskykh Heroiv' metro station. For the convenience of passengers, the route has been assigned the number 9-D. On September 28 from 07:00 to 22:00, trolleybus route No. 3 will be organized from the Railway Massif to Solomyanska St. according to the existing route, then - Solomyanska Square - Air Forces Avenue - Ivan Ohiyenko St. - Heorhiy Kirpa St. - Sicheslavska St. - Metropolitan Vasyl Lypkivskyi St. - Hetman Pavlo Skoropadskyi St., then according to the existing route. For the convenience of passengers, it has been assigned No. 3-A.",negative,"On September 25, trolleybus routes No. 3 and 9-K will be modified due to road work on Metropolitan Vasyl Lypkivskyi Street. Trolleybus No. 3 will operate under the new designation 3-D, and No. 9-K will be designated 9-D. Further changes to route No. 3 will occur on September 28.",Trolleybus Route Changes Announced,Citizen Discomfort,street,"Kyiv, Metropolitan Vasyl Lypkivskyi Street","[50.4503596, 30.5245025]"
2024-09-24T10:15:06+00:00,LOS SOLOMAS . КИЇВ,70218,"**24 вересня в Києві згадують жертв теракту комуністичного режиму на Хрещатику**

🏚24 вересня 1941 року, за кілька днів після окупації Києва німцями, на Хрещатику пролунала серія потужних вибухів.

Зайнялась масштабна пожежа, яка за тиждень знищила близько 200 будівель: 5 готелів, консерваторію, театри, кінотеатри, бібліотеки, міськраду, житлові будинки. Київ майже втратив історичний центр. Трохи згодом вибухнув центральний храм Києво-Печерської лаври.

👥Напередодні зими без житла залишилось близько 50 000 киян.

💥Це була диверсія радянських спецслужб, у межах тактики ""випаленої землі"". Комуністи готувалися до відступу – мінували важливу інфраструктуру, історичні пам’ятки, житлові будівлі. 

▫️Дивом вдалося врятувати національну святиню – Софію Київську. Директор Софійського заповідника Олекса Повстенко обманув НКВС, заявивши, що в будівлі відсутні підземелля і приховано замінувати її неможливо.

▫️Німці, які на той час окупували Київ, розмінували деякі будівлі: Оперний театр, колишню будівлю Центральної Ради (Будинок вчителя) тощо.

💔Вибухи на Хрещатику, які здійснили комуністи, стали приводом для нацистського режиму влаштувати ще один злочин і трагедію. Менше ніж за тиждень розпочалися масові розстріли євреїв у Бабиному яру.",negative,"On September 24, Kyiv commemorates the victims of a terrorist attack by the communist regime on Khreshchatyk, which occurred in 1941. The attack resulted in significant destruction, leaving around 50,000 residents homeless.",Kyiv Remembers 1941 Terror Victims,Social/Political Instability,street,"Kyiv, Khreshchatyk","[50.4477412, 30.5220779]"
2024-09-23T16:05:41+00:00,LOS SOLOMAS . КИЇВ,70185,"Ⓜ️**На станції метро «Берестейська» розпочнуть капітальний ремонт ескалаторів**, — КМДА

24 вересня розпочнеться 
плановий ремонт на ескалаторі №1. Роботи триватимуть орієнтовно до 12 листопада.",negative,Capital repairs on escalator No. 1 at the Beresteyska metro station will begin on September 24 and are expected to last until approximately November 12.,Metro Escalator Renovations Begin,Deterioration in Infrastructure,exact location,"Kyiv, Beresteyska metro station","[50.4593178, 30.4186364]"
2024-09-21T14:59:55+00:00,LOS SOLOMAS. KYIV,70092,"A person was hit

Solomianska St.",negative,A person was struck on Solomianska Street.,Accident on Solomianska Street,Crime or Safety Concerns,street,"Kyiv, Solomianska Street","[50.4233249, 30.4805921]"
2024-09-21T14:40:48+00:00,LOS SOLOMAS. KYIV,70089,"**Kyiv police quickly located a 50-year-old man who went missing the day before**

[Information about the missing person was received by law enforcement yesterday evening](https://kyiv.npu.gov.ua/news/politsiia-kyieva-operatyvno-rozshukala-50-richnoho-cholovika-iakyi-znyk-bezvisty-naperedodni) – a local resident reported to the police that her husband left home and stopped communicating.

According to available information, the Kyiv resident could have been in the Solomyansky Landscape Park, so law enforcement used a drone for a more detailed inspection of the area.

""To effectively work the area, we used a map of the landscape park, which clearly marked the areas to be searched. Each search zone was detailed among police officers, which allowed us to coordinate the actions of all services in the shortest possible time and ultimately find the person who needed immediate assistance,"" says the head of the district police department Igor Leus.

The 50-year-old man was taken to a medical facility for examination, and his life is not in danger.",positive,"Kyiv police successfully located a 50-year-old man who had been missing. He was found in Solomyansky Landscape Park and taken to a medical facility for examination, with no threat to his life.",Missing Man Found in Solomyanskyi,Social Progress,exact location,"Kyiv, Solomyansky Landscape Park","[50.4282552, 30.4529175]"
2024-09-21T07:00:26+00:00,LOS SOLOMAS. KYIV,70068,"**Dear residents of Kyiv and its guests! I invite you to visit the craft fair from September 20-22, 2024, in Vydradnyi Park.**

Here you will find many interesting things for every taste and age.
At the fair, you will be able to get acquainted with the creativity of the masters and purchase or order products that interest you.

Also, join our social media pages to follow our participants and events:
[Instagram](https://www.instagram.com/mak.made.world?igsh=NjY3MGQ3dnAxNWU3)
[Facebook](https://www.facebook.com/profile.php?id=61550786357818)",positive,"Residents and visitors of Kyiv are invited to a craft fair at Vydradnyi Park from September 20-22, 2024, featuring various creative products.",Craft Fair Coming to Kyiv,Community Events or Achievements,exact location,"Kyiv, Vydradnyi Park","[50.4503596, 30.5245025]"
2024-09-21T05:43:00+00:00,LOS SOLOMAS. KYIV,70065,"A fraudulent call center was discovered in the 'Marmelad' shopping center. Such centers have moved from prisons to capital offices.
Kyiv law enforcement conducted searches at a fraudulent call center operating in an office in the 'Marmelad' shopping center in the Solomyansky district. The call center functioned as an 'investment office'. There is currently no official information from the police.

Ukrainians often receive calls from fraudsters supposedly from a bank asking for card details or from a 'relative who got into an accident'. They also offer to take out a loan or invest in cryptocurrency.",negative,"A fraudulent call center was discovered in the 'Marmelad' shopping center, where scammers posed as investment advisors. Police are investigating the operation.",Fraud Call Center Raided in Kyiv,Crime or Safety Concerns,exact location,"Kyiv, Marmelad shopping center","[50.4461664, 30.4431536]"
2024-09-20T17:57:05+00:00,LOS SOLOMAS. KYIV,70046,"Good evening! At 49 Vaclava Havela, someone has lost a puppy. It is running back and forth nervously near the Art Pizza establishment. It has a collar with a medallion, but it won't let anyone catch it to take a look.",negative,"A lost puppy has been spotted near Art Pizza at 49 Vaclava Havela, but it is too frightened to be caught.",Lost Puppy Found Near Art Pizza,Other,exact location,"Kyiv, 49 Vaclava Havela","[50.4503596, 30.5245025]"
2024-09-19T14:32:31+00:00,LOS SOLOMAS. KYIV,70005,"**Kyiv City Council** **renamed 13 streets, parks, and squares in the capital** **Solomianskyi district:** 🔹Botkin Street - Professor Pavlovskyi Street; 🔹the unnamed square between Sicheslavska and Hrihoriia Kirpa streets has been named ""North Atlantic Alliance Square.""** **Podilskyi district:** 🔹Briusova Street - Valentyna Radzymovska Street; 🔹the park near the T.G. Shevchenko cinema has been named ""Hirka Kristera."" **Pecherskyi district:** 🔹Stanislavskyi Street - Bohdan Stupka Street. **Dniprovskyi district:** 🔹Petro Chaadaev Street - Yelyzaveta Shakhatuni Street. **Darnytskyi district:** 🔹Ivan Turgenev Street - Mykola Volkovych Street. **Shevchenkivskyi district:** 🔹Bechterivskyi Lane - Varazkyi Lane; 🔹the square on Prorezna Street (between houses No. 3 and No. 5) has been named ""Ukrainian Radio."" **Sviatoshynskyi district:** 🔹""Yunist"" park - ""Hamburg"" park; 🔹Zhovtneva Street - Sulymivska Street; 🔹Serhii Yesenin Street - Skarbova Street; 🔹the park on Mykhailo Kotelnykov Street, 26-32 has been named after Mykhailo Reutskyi.",positive,"The Kyiv City Council has renamed 13 streets, parks, and squares across various districts, including Botkin Street to Professor Pavlovskyi Street and Briusova Street to Valentyna Radzymovska Street.",Kyiv Renames 13 Streets,Political Stability/Positive Reforms,street,"Kyiv, Botkin Street","[50.4503596, 30.5245025]"
2024-09-19T14:23:14+00:00,LOS SOLOMAS. KYIV,70003,"Community! Friends! Today we witnessed another important and historic event on the path to victory in the functioning of the nature reserve named after Roman Ratushnyi ""Protasiv Yar."" The deputies of the Kyiv City Council supported and adopted extremely important decisions: ● ""On the statement of the Kyiv City Council regarding the status of the landscape reserve of local significance 'Protasiv Yar' named after Roman Ratushnyi"" No. 654 ● ""On organizational and legal measures to protect the landscape reserve of local significance 'Protasiv Yar' named after Roman Ratushnyi"" No. 653. We sincerely thank the deputies for their support and the decisions made, which are of great importance for the community and the future of our city!",positive,"The Kyiv City Council has approved significant decisions regarding the protection of the Protasiv Yar nature reserve named after Roman Ratushnyi, emphasizing its local significance.",Protasiv Yar Nature Reserve Protected,Environmental Improvements,exact location,"Kyiv, Protasiv Yar nature reserve","[50.4241074, 30.49896829999999]"
2024-09-19T10:14:05+00:00,LOS SOLOMAS. KYIV,69999,**In the shopping center **[**'Marmelad'**](https://t.me/lossolomas_kyiv/69999)** a fraudulent call center was discovered.** Such centers have moved from prisons to capital offices. **Kyiv law enforcement conducted searches at a fraudulent call center operating in an office in the 'Marmelad' shopping center in the Solomianskyi district. The call center functioned as an 'investment office.' There is currently no official information from the police. Ukrainians often receive calls from fraudsters supposedly from the bank asking for card details or from a 'relative who got into an accident.' They also offer to take a loan or invest in cryptocurrency.,negative,A fraudulent call center operating in the 'Marmelad' shopping center in the Solomianskyi district has been uncovered by Kyiv law enforcement.,Fraudulent Call Center Raided,Crime or Safety Concerns,exact location,"Kyiv, Marmelad shopping center","[50.4461664, 30.4431536]"
2024-09-19T10:14:05+00:00,LOS SOLOMAS. KYIV,69999,**In the shopping center **[**'Marmelad'**](https://t.me/lossolomas_kyiv/69999)** a fraudulent call center was discovered.** Such centers have moved from prisons to capital offices. **Kyiv law enforcement conducted searches at a fraudulent call center operating in an office in the 'Marmelad' shopping center in the Solomianskyi district. The call center functioned as an 'investment office.' There is currently no official information from the police. Ukrainians often receive calls from fraudsters supposedly from the bank asking for card details or from a 'relative who got into an accident.' They also offer to take a loan or invest in cryptocurrency.,negative,A fraudulent call center operating in the 'Marmelad' shopping center in the Solomianskyi district has been uncovered by Kyiv law enforcement.,Fraudulent Call Center Raided,Crime or Safety Concerns,district,Kyiv Solomianskyi district,"[50.4282552, 30.4529175]"
2024-09-17T16:22:52+00:00,LOS SOLOMAS. KYIV,69941,"Protasiv Yar towards Solomyanska Square - traffic accident
Traffic is partially complicated.",negative,"There has been a traffic accident on Protasiv Yar towards Solomyanska Square, causing partial traffic disruptions.",Traffic Accident Near Protasiv Yar,Citizen Discomfort,street,"Kyiv, Protasiv Yar","[50.4241074, 30.49896829999999]"
2024-09-17T16:22:52+00:00,LOS SOLOMAS. KYIV,69941,"Protasiv Yar towards Solomyanska Square - traffic accident
Traffic is partially complicated.",negative,"There has been a traffic accident on Protasiv Yar towards Solomyanska Square, causing partial traffic disruptions.",Traffic Accident Near Protasiv Yar,Citizen Discomfort,district,Kyiv Solomianskyi district,"[50.4282552, 30.4529175]"
2024-09-17T07:37:39+00:00,LOS SOLOMAS. KYIV,69931,"**Svitlychnyk 3.0 is a two-day local festival for the birthday of the sixtieth Ivan Svitlychnyi. He was a literary critic, but he was knowledgeable not only about books but also about people.**
** He easily established relationships with them and maintained communication with many at once. His Khrushchyovka on Umanska was one of the key points in the sixtieth topography of Kyiv. A place for meetings and acquaintances, a poetic workshop, a club, and a library for the creative youth of the 1960s. Today, we would call Svitlychnyi a guru of networking and community building.**
On September 28-29, we will meet at the platform ""Ostriv,"" which is a local cultural center in Chokolivka, to celebrate the birthday of a neighbor from the past and talk about the sixtieths in broader contexts. This is all that matters to us now - attitudes towards the Soviet legacy, activism and solidarity networks, memory and commemoration practices, ultimately - how new media help to understand the past. In addition to the educational component, the festival will also include creative workshops from the residents of the ""Ostriv"" platform, the content of which will address various figures and dimensions of the sixtieths, particularly artistic ones.

""Svitlychnyk"" first took place in 2020 as an intimate event for the neighborhood community aimed at communicating the emergence of Ivan Svitlychnyi Street in Chokolivka. The next event was held as a literary evening for young authors. During the full-scale war, we continue this commemorative practice in the district space, scaling it up to a mini-festival.

**📍Platform ""Ostriv"": Volynska 9/21

📍Park Suputnyk (opposite Svitlychnyi's house): Umanska 35**",positive,The Svitlychnyk 3.0 festival will celebrate the legacy of Ivan Svitlychnyi on September 28-29 at the cultural center 'Ostriv' in Chokolivka.,Svitlychnyk Festival Celebrates Legacy,Cultural/Sporting Milestones,exact location,"Kyiv, cultural center 'Ostriv'","[50.4503596, 30.5245025]"
2024-09-17T07:37:39+00:00,LOS SOLOMAS. KYIV,69931,"**Svitlychnyk 3.0 is a two-day local festival for the birthday of the sixtieth Ivan Svitlychnyi. He was a literary critic, but he was knowledgeable not only about books but also about people.**
** He easily established relationships with them and maintained communication with many at once. His Khrushchyovka on Umanska was one of the key points in the sixtieth topography of Kyiv. A place for meetings and acquaintances, a poetic workshop, a club, and a library for the creative youth of the 1960s. Today, we would call Svitlychnyi a guru of networking and community building.**
On September 28-29, we will meet at the platform ""Ostriv,"" which is a local cultural center in Chokolivka, to celebrate the birthday of a neighbor from the past and talk about the sixtieths in broader contexts. This is all that matters to us now - attitudes towards the Soviet legacy, activism and solidarity networks, memory and commemoration practices, ultimately - how new media help to understand the past. In addition to the educational component, the festival will also include creative workshops from the residents of the ""Ostriv"" platform, the content of which will address various figures and dimensions of the sixtieths, particularly artistic ones.

""Svitlychnyk"" first took place in 2020 as an intimate event for the neighborhood community aimed at communicating the emergence of Ivan Svitlychnyi Street in Chokolivka. The next event was held as a literary evening for young authors. During the full-scale war, we continue this commemorative practice in the district space, scaling it up to a mini-festival.

**📍Platform ""Ostriv"": Volynska 9/21

📍Park Suputnyk (opposite Svitlychnyi's house): Umanska 35**",positive,The Svitlychnyk 3.0 festival will celebrate the legacy of Ivan Svitlychnyi on September 28-29 at the cultural center 'Ostriv' in Chokolivka.,Svitlychnyk Festival Celebrates Legacy,Cultural/Sporting Milestones,district,"Kyiv, Chokolivka","[50.4242067, 30.4466034]"
2024-10-05T05:01:01+00:00,Straw INFO - Solomianskyi District,13245,"🍟 McDonald's on Vokzalna will reopen in November. The old building was demolished at the beginning of summer, and since then, construction work has been progressing very quickly.",positive,The McDonald's restaurant on Vokzalna is set to reopen in November following the demolition of the old building earlier this summer.,McDonald's Vokzalna Reopening Soon,Improvements in Infrastructure,street,Vokzalna,"[50.4413353, 30.489963]"
2024-10-04T07:33:16+00:00,Straw INFO - Solomianskyi District,13237,"**The pumpkin weekend season has started at Kyiv Zoo** Every weekend in October, visitors will be able to watch how the residents of Kyiv Zoo enjoy pumpkin treats. The pumpkin season will be opened by the residents of the Kyiv Zoo's Kopytny Row on October 5-6: ▪️12:00 – Bison ▪️12:15 – European bison ▪️12:30 – Przewalski's horses",positive,"The pumpkin season has begun at Kyiv Zoo, with special events planned every weekend in October.",Pumpkin Weekend at Kyiv Zoo,Community Events or Achievements,exact location,Kyiv Zoo,"[50.4549073, 30.4651811]"
2024-10-04T05:57:10+00:00,Straw INFO - Solomianskyi District,13229,"❗️There is a major traffic jam on Hlybochytska, Sichovykh Striltsiv, and Illienka Streets. A tram has stopped right at the intersection, blocking traffic in all directions.",negative,"There is significant traffic congestion on Hlybochytska, Sichovykh Striltsiv, and Illienka Streets due to a tram blocking the intersection.",Major Traffic Jam in Kyiv,Citizen Discomfort,street,Hlybochytska Street,"[50.4620758, 30.4960409]"
2024-10-04T05:57:10+00:00,Straw INFO - Solomianskyi District,13229,"❗️There is a major traffic jam on Hlybochytska, Sichovykh Striltsiv, and Illienka Streets. A tram has stopped right at the intersection, blocking traffic in all directions.",negative,"There is significant traffic congestion on Hlybochytska, Sichovykh Striltsiv, and Illienka Streets due to a tram blocking the intersection.",Major Traffic Jam in Kyiv,Citizen Discomfort,street,Sichovykh Striltsiv Street,"[49.8400626, 24.0237949]"
